keys,zh
TR_CAMPAIGN,"战役"
TR_SKIRMISH,"遭遇战"
TR_EDITOR,"编辑器"
TR_SETTINGS,"设置"
TR_CONTROLS,"控制"
TR_QUIT,"退出游戏"
TR_BACK,"返回"
TR_NEXT,"下一个"
TR_PREV,"上一个"
TR_SELECT,"选择"
TR_START,"开始"
TR_LOCKED,"已锁定"
TR_VIDEO,"视频"
TR_GRAPHICS,"图形"
TR_AUDIO,"音频"
TR_GAMEPLAY,"游戏玩法"
TR_ON,"开启"
TR_OFF,"关闭"
TR_MASTER,"主音量"
TR_MASTER_DESC,"整体音频音量"
TR_SFX,"特效音"
TR_SFX_DESC,"特效音量。如点击、爆炸等声音。"
TR_MUSIC,"背景音乐"
TR_MUSIC_DESC,"背景音乐音量"
TR_HQ_CAM,"将相机移动至指挥部"
TR_HQ_CAM_DESC,"在玩家回合开始时自动将相机移动至当前玩家的指挥部。"
TR_CAM_SHAKE,"相机抖动"
TR_CAM_SHAKE_DESC,"在爆炸时抖动相机。"
TR_DEF_CAM_ST,"默认风格"
TR_DEF_CAM_ST_DESC,"加载地图时的默认相机风格。"
TR_LANG,"语言"
TR_LANG_DESC,"界面语言"
TR_MSAA,"MSAA"
TR_MSAA_DESC,"用于更平滑的边缘的抗锯齿强度。由于已知问题已禁用。"
TR_FXAA,"FXAA"
TR_FXAA_DESC,"快速的抗锯齿方法。可能会显得模糊。由于呈现效果不佳已禁用。"
TR_VSYNC,"垂直同步"
TR_VSYNC_DESC,"防止画面撕裂的垂直同步。"
TR_FPS_L,"FPS限制"
TR_FPS_L_DESC,"渲染FPS的限制"
TR_IPS_L,"输入FPS"
TR_IPS_L_DESC,"输入频率。更高的值会使控制更流畅，但会消耗更多的CPU。"
TR_FULLSCREEN,"全屏"
TR_FULLSCREEN_DESC,"全屏游戏。只适用于允许窗口模式的设备。"
TR_SHADOWS,"阴影"
TR_SHADOWS_DESC,"全局阴影。"
TR_DECO,"装饰"
TR_DECO_DESC,"显示装饰元素，例如草地、花朵等。"
TR_DECO_SHAD,"装饰阴影"
TR_DECO_SHAD_DESC,"启用装饰元素的阴影。取决于全局阴影设置。"
TR_GAME,"游戏"
TR_CAMERA,"相机"
TR_CAM_SW,"切换相机"
TR_ZOOM,"缩放"
TR_NAV,"导航"
TR_MENU,"菜单"
TR_END_TURN,"结束回合"
TR_UNIT_STATS,"单位属性"
TR_UNDO,"撤销"
TR_CHANGE_TILE,"更换地块"
TR_ROTATE,"旋转"
TR_CLEAR,"清除"
TR_ALTERNATIVE,"替代"
TR_BANS,"禁令"
TR_AI_TOGGLE,"单位人工智能开关"
TR_SAVE,"保存"
TR_LOAD,"加载"
TR_CANCEL,"取消"
TR_SAP_DAWN,"蓝钻黎明"
TR_RUBY_DUSK,"红宝石黄昏"
TR_AMBER_NOON,"琥珀正午"
TR_JADE_TWILIGHT,"翡翠黄昏"
TR_OBS_NIGHT,"黑曜石夜晚"
TR_HUMAN,"人类"
TR_SWAP,"交换"
TR_SAVE_LOAD,"保存/加载游戏"
TR_MAIN_MENU,"主菜单"
TR_ENDING_TURN,"结束回合"
TR_TURN,"回合"
TR_CONTINUE,"继续"
TR_RESTART,"重新开始"
TR_SAP_DAWN_WIN,"蓝钻黎明获胜！"
TR_RUBY_DUSK_WIN,"红宝石黄昏获胜！"
TR_AMBER_NOON_WIN,"琥珀正午获胜！"
TR_JADE_TWI_WIN,"翡翠黄昏获胜！"
TR_OBS_NIGHT_WIN,"黑曜石夜晚获胜！"
TR_HP,"生命值"
TR_ARMOUR,"装甲"
TR_AP,"AP"
TR_MP,"魔法值"
TR_ATTACK,"攻击"
TR_LEVEL,"等级"
TR_KILLS,"杀敌数"
TR_ATT_HELI,"攻击直升机"
TR_INFANTRY,"步兵"
TR_M_INF,"机动步兵"
TR_M_R_ART,"机动火箭炮兵"
TR_ROCK_ART,"火箭炮兵"
TR_SCOUT_HELI,"侦察直升机"
TR_TANK,"坦克"
TR_TRUCK,"卡车"
TR_CHANCELLOR,"大臣"
TR_KING,"国王"
TR_LORD,"领主"
TR_PRESIDENT,"总统"
TR_ADMIRAL,"海军上将"
TR_CAPTAIN,"上尉"
TR_COMMANDO,"突击队员"
TR_GENERAL,"将军"
TR_GENTLEMAN,"绅士"
TR_NOBLE,"贵族"
TR_PRINCE,"王子"
